id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
8037965,1,17097221,Mario,,Bos en Lommer,52.37697,4.84849,Private room,68,1,2,2015-09-07,0.03,1,0,Centrum-Oost,68671201,Thomas,,52.37016,4.91281,Entire home/apt,115,3,5,2016-08-08,0.09,1,0
37442650,0,8310145,Marlieke,,Bos en Lommer,52.37692,4.86086,Entire home/apt,140,2,1,2019-10-09,0.07,1,0,De Baarsjes - Oud-West,273266448,Vlad,,52.3708,4.86086,Private room,136,2,13,2020-10-18,2.22,9,0
44167981,1,178187873,Marcel And Pauline,,Centrum-West,52.36592,4.88091,Entire home/apt,139,2,10,2020-10-08,2.38,25,0,Centrum-Oost,178187873,Marcel And Pauline,,52.36497,4.88061,Entire home/apt,56,2,6,2020-11-17,3.21,25,0
7359564,1,31024638,Roy,,De Pijp - Rivierenbuurt,52.35395,4.89161,Entire home/apt,125,2,3,2017-07-18,0.06,1,0,De Baarsjes - Oud-West,13561102,Eva,,52.36593,4.8539,Entire home/apt,80,3,7,2016-09-26,0.11,1,0
18337087,1,118703525,Regina,,Watergraafsmeer,52.35603,4.94466,Entire home/apt,136,3,53,2019-09-13,1.22,2,0,De Baarsjes - Oud-West,149544570,Susan,,52.36219,4.86384,Entire home/apt,119,3,6,2017-12-20,0.15,1,0
21287142,0,153884496,Celine,,Centrum-West,52.37458,4.87987,Entire home/apt,234,2,20,2020-02-23,0.53,1,0,Westerpark,768954,Meike & Jay,,52.39007,4.87987,Entire home/apt,132,2,20,2019-10-15,0.44,1,0
13897477,1,22715299,Sjoerd,,De Baarsjes - Oud-West,52.36245,4.86268,Private room,80,1,0,,,1,0,De Pijp - Rivierenbuurt,65597646,Yasmine,,52.35143,4.88929,Entire home/apt,120,2,6,2017-06-18,0.11,1,0
13933082,0,8935096,Bart,,Bos en Lommer,52.37779,4.86184,Entire home/apt,160,3,23,2018-09-20,0.43,1,0,De Baarsjes - Oud-West,240144171,Ambre,,52.37112,4.86184,Entire home/apt,90,3,1,2020-09-10,0.32,1,0
45168887,0,178187873,Marcel And Pauline,,Centrum-Oost,,4.88061,Entire home/apt,99,2,5,2020-11-01,1.61,25,0,Centrum-Oost,178187873,Marcel And Pauline,,,4.88061,Entire home/apt,56,2,0,,,25,0
7523103,1,13791055,Hulya,,Osdorp,52.35179,4.79806,Entire home/apt,200,2,7,2018-08-26,0.11,1,0,Westerpark,19285155,Tessa,,52.37401,4.8726,Entire home/apt,262,3,79,2019-09-29,1.07,1,22
14443375,1,7348004,Hilde,,De Baarsjes - Oud-West,52.36378,4.86416,Private room,70,2,1,2017-07-19,0.02,1,0,Oud-Noord,163687650,Sasa,,52.39301,4.94565,Private room,150,3,56,2020-03-07,1.56,1,365
18414048,1,7858255,Dick,,Noord-Oost,52.38682,4.9592,Entire home/apt,130,3,10,2019-08-07,0.23,1,0,De Baarsjes - Oud-West,114610644,Hana,,52.36975,4.87103,Entire home/apt,140,2,13,2019-04-28,0.54,1,0
12451293,0,67005410,Feliciano,,Centrum-West,,4.89926,Private room,73,1,160,2020-08-14,2.85,16,365,Centrum-West,67005410,Feliciano,,,4.89926,Private room,103,1,127,2020-03-14,2.29,16,0
