MATCH_SCORE,ID_1,NAME_1,HOSTNAME_1,NEIGHB_1,LATITUDE_1,LONGITUDE_1,ROOM_TYPE_1,ID_2,NAME_2,HOSTNAME_2,NEIGHB_2,LATITUDE_2,LONGITUDE_2,ROOM_TYPE_2
90,761967,Double Room,George,I Centro Storico,4189055,1250628,Private room,29115121,Cozy Double Room near Metro Battistini,Giorgio,XIV Monte Mario,4190743,124114,Private room
90,1026336,apartment in the center of rome,Alessandro,XII Monte Verde,4187786,1245726,Entire home/apt,35323729,NEW Cozy one-bedroom flat central Rome,Alessandro,I Centro Storico,4190616,1249858,Entire home/apt
89,946986,Apartment Trastevere,Manuela,XII Monte Verde,4187894,1246725,Entire home/apt,794830,Appartamento Trastevere 6 posti letto,Manuela,XII Monte Verde,4187888,124656,Entire home/apt
89,1151453,Pope's neighbors v. aurelia 79int 7,I Vicini Del Papa,XIII Aurelia,4189937,1245334,Entire home/apt,798038,"Neighbors of Pope Via Aurelia, 79 int3",I Vicini Del Papa,XIII Aurelia,4189984,1245429,Entire home/apt
89,773978,*GORGEOUS* 220mq in the HEART of ROME - 6 BEDROOMS,Annalisa,XII Monte Verde,4188186,1246762,Entire home/apt,3778550,HEART OF ROME,Ann,I Centro Storico,4189454,1247214,Entire home/apt
89,771662,In the historic center with garden,King Edward,I Centro Storico,4188954,1248154,Entire home/apt,3816910,Charme in the historic center,King Edward,I Centro Storico,419005,1246711,Entire home/apt
89,794830,Appartamento Trastevere 6 posti letto,Manuela,XII Monte Verde,4187888,124656,Entire home/apt,4610124,Apartment Trastevere,Manuela,XII Monte Verde,418806,1246775,Entire home/apt
89,844558,I Mulini a Vento B&B Singole,Daniele,I Centro Storico,4190828,124604,Private room,4861251,I Mulini a Vento B&B Triple/Quad Room,Daniele,I Centro Storico,4190926,1245998,Private room
89,839925,Roma *Casa Circe*  VILLA NEL VERDE,Luciana,VII San Giovanni/Cinecittà,4184358,1255819,Entire home/apt,8539386,Roma***Casina Circe***,Luciana,VII San Giovanni/Cinecittà,4184181,1255658,Entire home/apt
89,1026336,apartment in the center of rome,Alessandro,XII Monte Verde,4187786,1245726,Entire home/apt,15948132,Fine apartment central rome porto fluviale area,Alex,XI Arvalia/Portuense,4187076,1246951,Entire home/apt
89,1086589,Vatican apartment,Loredana,I Centro Storico,4190513,1244758,Entire home/apt,15318064,Vatican Doria Apartment,Giovanni Luca Loredana Alessandra,I Centro Storico,4191143,1245535,Entire home/apt
89,924234,lovely flat in the centre of Rome,Angela,I Centro Storico,4189536,1247099,Entire home/apt,15659818,lovely property,Angelo,III Monte Sacro,4195763,125259,Entire home/apt
89,946986,Apartment Trastevere,Manuela,XII Monte Verde,4187894,1246725,Entire home/apt,21603801,Nice Apartment in Trastevere 2,Manuele,I Centro Storico,4188998,1246793,Entire home/apt
89,1242756,"Casa Regola,     Campo de Fiori",Carlo,I Centro Storico,4189501,1247205,Entire home/apt,21396370,Casa,Monica E Carlo,I Centro Storico,4190538,1244627,Entire home/apt
89,560450,Rome - Bed & Breakfast Fonteiana66,Alessandra,XII Monte Verde,418816,1245552,Private room,20204076,RoOMe,Alessandra,I Centro Storico,4190242,1250583,Private room
89,1026336,apartment in the center of rome,Alessandro,XII Monte Verde,4187786,1245726,Entire home/apt,23811780,Triple Single - 2BR Luxury Apartment Central Rome,Alex,I Centro Storico,41897,1249185,Entire home/apt
89,946986,Apartment Trastevere,Manuela,XII Monte Verde,4187894,1246725,Entire home/apt,30153601,Nice apartment in Trastevere Scala,Manuele,I Centro Storico,4189049,1246825,Entire home/apt
89,1192479,Suite In Rome,Anna Maria,X Ostia/Acilia,4174715,1237933,Entire home/apt,31800322,S. Peter's Square Rome,Marina,I Centro Storico,4190795,1245598,Entire home/apt
89,1026336,apartment in the center of rome,Alessandro,XII Monte Verde,4187786,1245726,Entire home/apt,29963844,ROME RIONE CENTER APARTMENT,Bianca & Alex,I Centro Storico,4189573,1249465,Entire home/apt
89,928448,Cozy room in the hearth of rome,Alessandro,XII Monte Verde,4187696,1245871,Private room,31890810,Cozy Room,Maya Alexandra,VII San Giovanni/Cinecittà,4187314,1252229,Private room
