id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
4608544,0,20698632,Diego,Ciutat Vella,el Raval,41.38301,2.16677,Private room,19,1,308,2020-12-06,4.47,2,69,la Nova Esquerra de l'Eixample,373624348,Mari,Eixample,,2.15249,Private room,19,1,1,2020-11-03,0.65,16,257
39098188,1,292296775,Alicia,Eixample,Sant Antoni,41.37685,2.15271,Private room,33,1,23,2020-02-29,1.57,5,90,Sant Martí de Provençals,50257816,Silvana,Sant Martí,41.4221,2.19644,Private room,19,1,24,2020-10-12,0.52,2,364
46192169,1,265147782,Sleep,Eixample,la Nova Esquerra de l'Eixample,41.38112,2.14568,Entire home/apt,33,30,0,,,50,264,la Nova Esquerra de l'Eixample,265147782,Sleep,Eixample,41.38123,2.14641,Entire home/apt,33,30,0,,,50,174
1447830,0,3775349,Mafe,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",,2.1827,Entire home/apt,220,32,2,2017-06-26,0.03,31,319,"Sant Pere, Santa Caterina i la Ribera",3775349,Mafe,Ciutat Vella,,2.1827,Entire home/apt,200,32,1,2019-07-31,0.06,31,261
268022,0,1405013,"Bcn Clols Apartments, S.L.",Eixample,la Dreta de l'Eixample,,2.17107,Entire home/apt,168,1,9,2019-05-02,0.19,15,111,la Dreta de l'Eixample,1405013,"Bcn Clols Apartments, S.L.",Eixample,,2.17107,Entire home/apt,145,1,18,2020-07-30,0.26,15,285
32034598,0,21873399,Sol,Sants-Montjuïc,el Poble Sec,,2.16336,Entire home/apt,95,3,1,2019-10-31,0.07,36,365,el Poble Sec,21873399,Sol,Sants-Montjuïc,,2.16336,Entire home/apt,95,3,14,2019-11-03,0.4,36,349
29843019,0,23968212,The Hipstel Paseo De Gracia,Eixample,la Dreta de l'Eixample,,2.16309,Hotel room,75,1,4,2020-02-12,0.16,10,364,la Dreta de l'Eixample,23968212,The Hipstel Paseo De Gracia,Eixample,,2.16309,Hotel room,13,1,38,2020-02-21,1.52,10,364
39641672,1,304618784,Myriam,Eixample,el Fort Pienc,41.40062,2.17917,Private room,37,2,1,2019-11-04,0.07,1,0,la Sagrada Família,99738599,Irene,Eixample,41.40554,2.18288,Private room,60,21,1,2017-08-18,0.02,1,90
8297905,0,10380563,Tendency,Eixample,la Sagrada Família,41.40735,2.17905,Entire home/apt,95,3,67,2020-02-25,1.16,44,0,"Sant Pere, Santa Caterina i la Ribera",256870952,Patrice,Ciutat Vella,41.38692,2.17905,Private room,65,3,26,2020-01-17,1.3,1,0
40025589,1,308655128,Nicolas,Sants-Montjuïc,el Poble Sec,41.37232,2.16409,Private room,25,30,0,,,5,365,el Poble Sec,308655128,Nicolas,Sants-Montjuïc,41.37258,2.16383,Private room,28,30,0,,,5,365
18800050,0,54820821,Albert,Eixample,la Sagrada Família,,2.17132,Entire home/apt,222,1,92,2020-09-05,2.12,20,286,la Sagrada Família,174751009,Albert,Eixample,,2.17132,Entire home/apt,82,1,41,2020-08-09,1.26,18,231
45969832,0,5614931,Fisa Rentals,Eixample,la Dreta de l'Eixample,41.39116,2.17114,Entire home/apt,87,1,0,,,40,359,la Dreta de l'Eixample,5614931,Fisa Rentals,Eixample,41.39116,2.17114,Entire home/apt,87,2,0,,,40,0
24978503,0,171753883,Beatriz,Ciutat Vella,el Barri Gòtic,,2.17103,Entire home/apt,84,1,156,2020-11-27,5.23,6,347,el Barri Gòtic,171753883,Beatriz,Ciutat Vella,,2.17103,Entire home/apt,77,1,153,2020-11-26,4.94,6,340
23625269,0,174751009,Albert,Eixample,la Sagrada Família,,2.17132,Entire home/apt,61,1,81,2020-03-26,2.41,18,356,la Sagrada Família,54820821,Albert,Eixample,,2.17132,Entire home/apt,178,1,92,2020-10-04,2.26,20,359
22381473,0,163670236,Bikey,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38493,2.17955,Private room,59,1,5,2018-05-26,0.15,3,0,"Sant Pere, Santa Caterina i la Ribera",4021848,Lluís,Ciutat Vella,41.38649,2.17955,Private room,17,1,2,2018-01-27,0.06,1,0
34305195,0,258723902,Colon,Ciutat Vella,el Barri Gòtic,,2.17867,Entire home/apt,218,1,66,2020-09-20,3.6,4,332,el Barri Gòtic,258723902,Colon,Ciutat Vella,,2.17867,Entire home/apt,283,1,2,2020-01-26,0.17,4,343
18167818,0,121825,C211,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,,2.14707,Entire home/apt,81,30,1,2020-06-28,0.17,18,292,Sant Gervasi - Galvany,121825,C211,Sarrià-Sant Gervasi,,2.14707,Entire home/apt,214,1,2,2020-01-23,0.18,18,354
42393547,1,336790045,Josep,Sant Martí,el Parc i la Llacuna del Poblenou,41.39778,2.18786,Shared room,150,1,0,,,7,365,el Parc i la Llacuna del Poblenou,336790045,Josep,Sant Martí,41.39959,2.18877,Shared room,150,1,0,,,7,365
35135494,0,9171437,Hola,Eixample,la Dreta de l'Eixample,,2.17724,Hotel room,301,1,85,2020-03-17,4.5,5,291,la Dreta de l'Eixample,9171437,Hola,Eixample,,2.17724,Hotel room,307,1,3,2020-02-25,0.17,5,291
13683831,1,79467759,Vicens,Sants-Montjuïc,Sants,41.3792,2.13711,Private room,50,3,0,,,1,0,el Fort Pienc,37648307,Mayca,Eixample,41.4001,2.17396,Private room,40,3,9,2015-09-21,0.14,1,0
